AREA,MAINTRAVELWORK,AGE,Value,Flags
187500,3,2,24,
187500,4,2,6,
187500,5,2,9,
187500,7,2,0,
187500,9,2,0,
187600,1,2,3,
187600,3,2,27,
187600,4,2,0,
187600,5,2,9,
187600,7,2,0,
187600,9,2,0,
187700,1,2,72,
187700,3,2,81,
187700,4,2,12,
187700,5,2,9,
187700,7,2,0,
187700,9,2,3,
187800,1,2,51,
187800,3,2,45,
187800,4,2,15,
187800,5,2,12,
187800,7,2,0,
187800,9,2,0,
187900,1,2,27,
187900,3,2,39,
187900,4,2,3,
187900,5,2,12,
187900,7,2,0,
187900,9,2,3,
188000,1,2,21,
188000,3,2,45,
188000,4,2,18,
188000,5,2,9,
188000,7,2,0,
188000,9,2,3,
188100,1,2,,c
188100,3,2,,c
188100,4,2,,c
188100,5,2,,c
188100,7,2,,c
188100,9,2,,c
188200,1,2,30,
188200,3,2,114,
188200,4,2,9,
188200,5,2,21,
188200,7,2,0,
188200,9,2,0,
188300,1,2,9,
188300,3,2,12,
188300,4,2,3,
188300,5,2,6,
188300,7,2,0,
188300,9,2,0,
188400,1,2,18,
188400,3,2,15,
188400,4,2,3,
188400,5,2,3,
188400,7,2,0,
188400,9,2,0,
188500,1,2,18,
188500,3,2,18,
188500,4,2,6,
188500,5,2,9,
188500,7,2,0,
188500,9,2,0,
188600,1,2,6,
188600,3,2,624,
188600,4,2,48,
188600,5,2,126,
188600,7,2,0,
188600,9,2,21,
188700,1,2,33,
188700,3,2,306,
188700,4,2,72,
188700,5,2,36,
188700,7,2,0,
188700,9,2,3,
188800,1,2,45,
188800,3,2,39,
188800,4,2,0,
188800,5,2,6,
188800,7,2,0,
188800,9,2,0,
188900,1,2,45,
188900,3,2,48,
188900,4,2,6,
188900,5,2,3,
188900,7,2,0,
188900,9,2,0,
189000,1,2,27,
189000,3,2,33,
189000,4,2,6,
189000,5,2,3,
189000,7,2,0,
189000,9,2,0,
189100,1,2,21,
189100,3,2,96,
189100,4,2,9,
189100,5,2,12,
189100,7,2,0,
189100,9,2,6,
189200,1,2,21,
189200,3,2,33,
189200,4,2,3,
189200,5,2,12,
189200,7,2,0,
189200,9,2,0,
189300,1,2,15,
189300,3,2,24,
189300,4,2,3,
189300,5,2,6,
189300,7,2,0,
189300,9,2,3,
189400,1,2,3,
189400,3,2,33,
189400,4,2,3,
189400,5,2,6,
189400,7,2,0,
189400,9,2,0,
189500,1,2,,c
189500,3,2,,c
189500,4,2,,c
189500,5,2,,c
189500,7,2,,c
189500,9,2,,c
189600,1,2,12,
189600,3,2,12,
189600,4,2,3,
189600,5,2,0,
189600,7,2,0,
189600,9,2,0,
189700,1,2,18,
189700,3,2,105,
189700,4,2,12,
189700,5,2,21,
189700,7,2,0,
189700,9,2,9,
189800,1,2,,c
189800,3,2,,c
189800,4,2,,c
189800,5,2,,c
189800,7,2,,c
189800,9,2,,c
189900,1,2,6,
189900,3,2,6,
189900,4,2,,c
189900,5,2,,c
189900,7,2,,c
189900,9,2,,c
190000,1,2,,c
190000,3,2,,c
190000,4,2,,c
190000,5,2,,c
190000,7,2,,c
190000,9,2,,c
190100,1,2,3,
190100,3,2,12,
190100,4,2,3,
190100,5,2,0,
190100,7,2,0,
190100,9,2,0,
190200,1,2,12,
190200,3,2,84,
190200,4,2,6,
190200,5,2,9,
190200,7,2,0,
190200,9,2,6,
190300,1,2,15,
190300,3,2,27,
190300,4,2,3,
190300,5,2,3,
190300,7,2,0,
190300,9,2,0,
190400,1,2,3,
190400,3,2,12,
190400,4,2,0,
190400,5,2,0,
190400,7,2,0,
190400,9,2,0,
190500,1,2,21,
190500,3,2,93,
190500,4,2,12,
190500,5,2,12,
190500,7,2,0,
190500,9,2,0,
190600,1,2,24,
190600,3,2,249,
190600,4,2,18,
190600,5,2,51,
190600,7,2,0,
190600,9,2,6,
190700,1,2,,c
190700,3,2,,c
190700,4,2,,c
190700,5,2,,c
190700,7,2,,c
190700,9,2,,c
190800,1,2,,c
190800,3,2,9,
190800,4,2,,c
190800,5,2,,c
190800,7,2,,c
190800,9,2,,c
190900,1,2,30,
190900,3,2,39,
190900,4,2,6,
190900,5,2,3,
190900,7,2,0,
190900,9,2,0,
191000,1,2,21,
191000,3,2,39,
191000,4,2,0,
191000,5,2,3,
191000,7,2,0,
191000,9,2,3,
191100,1,2,12,
191100,3,2,33,
191100,4,2,0,
191100,5,2,3,
191100,7,2,0,
191100,9,2,0,
191200,1,2,18,
191200,3,2,75,
191200,4,2,9,
191200,5,2,6,
191200,7,2,0,
191200,9,2,0,
191300,1,2,18,
191300,3,2,30,
191300,4,2,6,
191300,5,2,3,
191300,7,2,0,
191300,9,2,3,
191400,1,2,27,
191400,3,2,18,
191400,4,2,3,
191400,5,2,3,
191400,7,2,0,
191400,9,2,0,
191500,1,2,15,
191500,3,2,36,
191500,4,2,3,
191500,5,2,6,
191500,7,2,0,
191500,9,2,0,
191600,1,2,21,
191600,3,2,9,
191600,4,2,0,
191600,5,2,0,
191600,7,2,0,
191600,9,2,0,
191700,1,2,36,
191700,3,2,54,
191700,4,2,0,
191700,5,2,6,
191700,7,2,0,
191700,9,2,0,
191800,1,2,24,
191800,3,2,102,
191800,4,2,9,
191800,5,2,21,
191800,7,2,0,
191800,9,2,0,
191900,1,2,42,
191900,3,2,222,
191900,4,2,18,
191900,5,2,36,
191900,7,2,0,
191900,9,2,0,
192000,1,2,72,
192000,3,2,168,
192000,4,2,27,
192000,5,2,39,
192000,7,2,0,
192000,9,2,0,
192100,1,2,30,
192100,3,2,261,
192100,4,2,27,
192100,5,2,54,
192100,7,2,0,
192100,9,2,3,
192200,1,2,,c
192200,3,2,,c
192200,4,2,,c
192200,5,2,,c
192200,7,2,,c
192200,9,2,,c
192300,1,2,12,
192300,3,2,15,
192300,4,2,3,
192300,5,2,3,
192300,7,2,0,
192300,9,2,0,
192400,1,2,,c
192400,3,2,,c
192400,4,2,,c
192400,5,2,,c
192400,7,2,,c
192400,9,2,,c
192500,1,2,69,
192500,3,2,105,
192500,4,2,15,
192500,5,2,12,
192500,7,2,3,
192500,9,2,0,
192600,1,2,15,
192600,3,2,24,
192600,4,2,6,
192600,5,2,3,
192600,7,2,0,
192600,9,2,0,
192700,1,2,,c
192700,3,2,9,
192700,4,2,,c
192700,5,2,,c
192700,7,2,,c
192700,9,2,,c
192800,1,2,60,
192800,3,2,351,
192800,4,2,24,
192800,5,2,39,
192800,7,2,3,
192800,9,2,36,
192900,1,2,24,
192900,3,2,33,
192900,4,2,9,
192900,5,2,6,
192900,7,2,0,
192900,9,2,0,
193000,1,2,15,
193000,3,2,261,
193000,4,2,15,
193000,5,2,33,
193000,7,2,0,
193000,9,2,6,
193100,1,2,39,
193100,3,2,66,
193100,4,2,9,
193100,5,2,12,
193100,7,2,0,
193100,9,2,0,
193200,1,2,30,
193200,3,2,108,
193200,4,2,9,
193200,5,2,9,
193200,7,2,0,
193200,9,2,3,
193300,1,2,27,
193300,3,2,48,
193300,4,2,9,
193300,5,2,6,
193300,7,2,0,
193300,9,2,3,
193400,1,2,24,
193400,3,2,93,
193400,4,2,3,
193400,5,2,24,
193400,7,2,0,
193400,9,2,3,
193500,1,2,12,
193500,3,2,84,
193500,4,2,9,
193500,5,2,6,
193500,7,2,0,
193500,9,2,3,
193600,1,2,39,
193600,3,2,21,
193600,4,2,0,
193600,5,2,3,
193600,7,2,0,
193600,9,2,0,
193700,1,2,33,
193700,3,2,81,
193700,4,2,12,
193700,5,2,12,
193700,7,2,0,
193700,9,2,3,
193800,1,2,21,
193800,3,2,1716,
193800,4,2,123,
193800,5,2,192,
193800,7,2,3,
193800,9,2,72,
193900,1,2,6,
193900,3,2,1242,
193900,4,2,201,
193900,5,2,108,
193900,7,2,0,
193900,9,2,60,
194000,1,2,15,
194000,3,2,36,
194000,4,2,3,
194000,5,2,6,
194000,7,2,0,
194000,9,2,0,
194100,1,2,18,
194100,3,2,24,
194100,4,2,0,
194100,5,2,3,
194100,7,2,0,
194100,9,2,0,
194200,1,2,3,
194200,3,2,18,
194200,4,2,0,
194200,5,2,0,
194200,7,2,0,
194200,9,2,0,
194300,1,2,27,
194300,3,2,66,
194300,4,2,6,
194300,5,2,6,
194300,7,2,0,
194300,9,2,3,
194400,1,2,33,
194400,3,2,609,
194400,4,2,63,
194400,5,2,42,
194400,7,2,0,
194400,9,2,39,
194500,1,2,9,
194500,3,2,360,
194500,4,2,51,
194500,5,2,27,
194500,7,2,0,
194500,9,2,6,
194600,1,2,42,
194600,3,2,162,
194600,4,2,15,
194600,5,2,36,
194600,7,2,0,
194600,9,2,3,
194700,1,2,6,
194700,3,2,345,
194700,4,2,51,
194700,5,2,54,
194700,7,2,0,
194700,9,2,12,
194800,1,2,30,
194800,3,2,375,
194800,4,2,27,
194800,5,2,36,
194800,7,2,0,
194800,9,2,12,
194900,1,2,30,
194900,3,2,54,
194900,4,2,6,
194900,5,2,6,
194900,7,2,0,
194900,9,2,3,
195000,1,2,3,
195000,3,2,21,
195000,4,2,0,
195000,5,2,0,
195000,7,2,0,
195000,9,2,0,
195100,1,2,33,
195100,3,2,69,
195100,4,2,6,
195100,5,2,6,
195100,7,2,0,
195100,9,2,3,
195200,1,2,24,
195200,3,2,72,
195200,4,2,6,
195200,5,2,9,
195200,7,2,0,
195200,9,2,0,
195300,1,2,15,
195300,3,2,15,
195300,4,2,6,
195300,5,2,3,
195300,7,2,0,
195300,9,2,0,
195400,1,2,24,
195400,3,2,96,
195400,4,2,15,
195400,5,2,12,
195400,7,2,0,
195400,9,2,3,
195500,1,2,39,
195500,3,2,201,
195500,4,2,18,
195500,5,2,27,
195500,7,2,0,
195500,9,2,12,
195600,1,2,6,
195600,3,2,12,
195600,4,2,6,
195600,5,2,3,
195600,7,2,0,
195600,9,2,0,
195700,1,2,3,
195700,3,2,33,
195700,4,2,0,
195700,5,2,3,
195700,7,2,0,
195700,9,2,0,
195800,1,2,27,
195800,3,2,72,
195800,4,2,9,
195800,5,2,9,
195800,7,2,0,
195800,9,2,6,
195900,1,2,15,
195900,3,2,27,
195900,4,2,9,
195900,5,2,9,
195900,7,2,0,
195900,9,2,0,
196000,1,2,15,
196000,3,2,27,
196000,4,2,3,
196000,5,2,9,
196000,7,2,0,
196000,9,2,0,
196100,1,2,3,
196100,3,2,9,
196100,4,2,3,
196100,5,2,0,
196100,7,2,0,
196100,9,2,0,
196200,1,2,30,
196200,3,2,30,
196200,4,2,6,
196200,5,2,6,
196200,7,2,0,
196200,9,2,0,
196300,1,2,9,
196300,3,2,18,
196300,4,2,0,
196300,5,2,0,
196300,7,2,0,
196300,9,2,0,
196400,1,2,27,
196400,3,2,12,
196400,4,2,3,
196400,5,2,3,
196400,7,2,0,
196400,9,2,0,
196500,1,2,9,
196500,3,2,141,
196500,4,2,12,
196500,5,2,12,
196500,7,2,0,
196500,9,2,3,
196600,1,2,33,
196600,3,2,12,
196600,4,2,6,
196600,5,2,6,
196600,7,2,0,
196600,9,2,0,
196700,1,2,18,
196700,3,2,30,
196700,4,2,3,
196700,5,2,3,
196700,7,2,0,
196700,9,2,0,
196800,1,2,30,
196800,3,2,21,
196800,4,2,3,
196800,5,2,3,
196800,7,2,0,
196800,9,2,0,
196900,1,2,27,
196900,3,2,18,
196900,4,2,3,
196900,5,2,9,
196900,7,2,0,
196900,9,2,0,
197000,1,2,24,
197000,3,2,36,
197000,4,2,6,
197000,5,2,6,
197000,7,2,0,
197000,9,2,0,
197100,1,2,24,
197100,3,2,264,
197100,4,2,9,
197100,5,2,39,
197100,7,2,0,
197100,9,2,21,
197200,1,2,27,
197200,3,2,27,
197200,4,2,6,
197200,5,2,0,
197200,7,2,0,
197200,9,2,0,
197300,1,2,21,
197300,3,2,57,
197300,4,2,0,
197300,5,2,6,
197300,7,2,0,
197300,9,2,3,
197400,1,2,30,
197400,3,2,60,
197400,4,2,6,
197400,5,2,9,
197400,7,2,0,
197400,9,2,3,
197500,1,2,21,
197500,3,2,48,
197500,4,2,3,
197500,5,2,0,
197500,7,2,0,
197500,9,2,3,
197600,1,2,24,
197600,3,2,72,
197600,4,2,24,
197600,5,2,6,
197600,7,2,0,
197600,9,2,0,
197700,1,2,30,
197700,3,2,48,
197700,4,2,9,
197700,5,2,9,
197700,7,2,0,
197700,9,2,3,
197800,1,2,12,
197800,3,2,6,
197800,4,2,,c
197800,5,2,,c
197800,7,2,,c
197800,9,2,,c
197900,1,2,18,
197900,3,2,27,
197900,4,2,3,
197900,5,2,6,
197900,7,2,0,
197900,9,2,3,
198000,1,2,9,
198000,3,2,9,
198000,4,2,3,
198000,5,2,3,
198000,7,2,0,
198000,9,2,3,
198100,1,2,15,
198100,3,2,30,
198100,4,2,3,
198100,5,2,6,
198100,7,2,0,
198100,9,2,0,
198200,1,2,6,
198200,3,2,18,
198200,4,2,0,
198200,5,2,6,
198200,7,2,0,
198200,9,2,0,
198300,1,2,,c
198300,3,2,,c
198300,4,2,,c
198300,5,2,,c
198300,7,2,,c
198300,9,2,,c
198400,1,2,9,
198400,3,2,162,
198400,4,2,6,
198400,5,2,39,
198400,7,2,0,
198400,9,2,3,
198500,1,2,12,
198500,3,2,12,
198500,4,2,0,
198500,5,2,3,
198500,7,2,0,
198500,9,2,0,
198600,1,2,12,
198600,3,2,21,
198600,4,2,3,
198600,5,2,3,
198600,7,2,0,
198600,9,2,0,
198700,1,2,15,
198700,3,2,36,
198700,4,2,3,
198700,5,2,12,
198700,7,2,0,
198700,9,2,0,
198800,1,2,21,
198800,3,2,12,
198800,4,2,3,
198800,5,2,0,
198800,7,2,0,
198800,9,2,0,
198900,1,2,12,
198900,3,2,33,
198900,4,2,9,
198900,5,2,0,
198900,7,2,0,
198900,9,2,3,
199000,1,2,12,
199000,3,2,15,
199000,4,2,3,
199000,5,2,3,
199000,7,2,0,
199000,9,2,3,
199100,1,2,21,
199100,3,2,6,
199100,4,2,0,
199100,5,2,0,
199100,7,2,0,
199100,9,2,0,
199200,1,2,15,
199200,3,2,15,
199200,4,2,6,
199200,5,2,3,
199200,7,2,0,
199200,9,2,0,
199300,1,2,3,
199300,3,2,657,
199300,4,2,117,
199300,5,2,69,
199300,7,2,0,
199300,9,2,21,
199400,1,2,24,
199400,3,2,18,
199400,4,2,0,
199400,5,2,6,
199400,7,2,0,
199400,9,2,0,
199500,1,2,12,
199500,3,2,15,
199500,4,2,0,
199500,5,2,3,
199500,7,2,0,
199500,9,2,0,
199600,1,2,24,
199600,3,2,9,
199600,4,2,0,
199600,5,2,0,
199600,7,2,0,
199600,9,2,0,
199700,1,2,18,
199700,3,2,12,
199700,4,2,6,
199700,5,2,3,
199700,7,2,0,
199700,9,2,0,
199800,1,2,9,
199800,3,2,117,
199800,4,2,12,
199800,5,2,27,
199800,7,2,0,
199800,9,2,0,
199900,1,2,12,
199900,3,2,27,
199900,4,2,3,
199900,5,2,9,
199900,7,2,0,
199900,9,2,0,
200000,1,2,15,
200000,3,2,12,
200000,4,2,6,
200000,5,2,0,
200000,7,2,0,
200000,9,2,0,
200100,1,2,12,
200100,3,2,1251,
200100,4,2,54,
200100,5,2,189,
200100,7,2,0,
200100,9,2,30,
200200,1,2,27,
200200,3,2,45,
200200,4,2,3,
200200,5,2,24,
200200,7,2,0,
200200,9,2,0,
200300,1,2,30,
200300,3,2,42,
200300,4,2,3,
200300,5,2,6,
200300,7,2,0,
200300,9,2,3,
200400,1,2,6,
200400,3,2,12,
200400,4,2,3,
200400,5,2,6,
200400,7,2,0,
200400,9,2,0,
200500,1,2,36,
200500,3,2,30,
200500,4,2,3,
200500,5,2,3,
200500,7,2,0,
200500,9,2,0,
200600,1,2,21,
200600,3,2,15,
200600,4,2,3,
200600,5,2,3,
200600,7,2,0,
200600,9,2,0,
200700,1,2,9,
200700,3,2,30,
200700,4,2,3,
200700,5,2,3,
200700,7,2,0,
200700,9,2,0,
200800,1,2,18,
200800,3,2,30,
200800,4,2,6,
200800,5,2,3,
200800,7,2,0,
200800,9,2,0,
200900,1,2,24,
200900,3,2,75,
200900,4,2,3,
200900,5,2,6,
200900,7,2,0,
200900,9,2,3,
201000,1,2,12,
201000,3,2,72,
201000,4,2,9,
201000,5,2,6,
201000,7,2,0,
201000,9,2,3,
201100,1,2,6,
201100,3,2,264,
201100,4,2,63,
201100,5,2,42,
201100,7,2,0,
201100,9,2,15,
201200,1,2,15,
201200,3,2,75,
201200,4,2,3,
201200,5,2,12,
201200,7,2,0,
201200,9,2,3,
201300,1,2,6,
201300,3,2,129,
201300,4,2,6,
201300,5,2,24,
201300,7,2,0,
201300,9,2,6,
201400,1,2,24,
201400,3,2,24,
201400,4,2,6,
201400,5,2,6,
201400,7,2,0,
201400,9,2,0,
201500,1,2,27,
201500,3,2,66,
201500,4,2,9,
201500,5,2,12,
201500,7,2,0,
201500,9,2,3,
201600,1,2,72,
201600,3,2,60,
201600,4,2,9,
201600,5,2,9,
201600,7,2,0,
201600,9,2,3,
201700,1,2,42,
201700,3,2,93,
201700,4,2,12,
201700,5,2,24,
201700,7,2,0,
201700,9,2,0,
201800,1,2,99,
201800,3,2,69,
201800,4,2,12,
201800,5,2,21,
201800,7,2,0,
201800,9,2,0,
201900,1,2,12,
201900,3,2,12,
201900,4,2,3,
201900,5,2,3,
201900,7,2,0,
201900,9,2,0,
202000,1,2,33,
202000,3,2,21,
202000,4,2,6,
202000,5,2,6,
202000,7,2,0,
202000,9,2,3,
202100,1,2,18,
202100,3,2,24,
202100,4,2,3,
202100,5,2,6,
202100,7,2,0,
202100,9,2,0,
202200,1,2,18,
202200,3,2,66,
202200,4,2,12,
202200,5,2,6,
202200,7,2,0,
202200,9,2,0,
202300,1,2,33,
202300,3,2,114,
202300,4,2,12,
202300,5,2,12,
202300,7,2,0,
202300,9,2,6,
202400,1,2,12,
202400,3,2,15,
202400,4,2,3,
202400,5,2,9,
202400,7,2,0,
202400,9,2,0,
202500,1,2,6,
202500,3,2,129,
202500,4,2,15,
202500,5,2,15,
202500,7,2,0,
202500,9,2,6,
202600,1,2,48,
202600,3,2,18,
202600,4,2,6,
202600,5,2,3,
202600,7,2,0,
202600,9,2,0,
202700,1,2,33,
202700,3,2,543,
202700,4,2,42,
202700,5,2,69,
202700,7,2,3,
202700,9,2,24,
202800,1,2,21,
202800,3,2,102,
202800,4,2,9,
202800,5,2,6,
202800,7,2,0,
202800,9,2,0,
202900,1,2,15,
202900,3,2,108,
202900,4,2,24,
202900,5,2,18,
202900,7,2,0,
202900,9,2,3,
203000,1,2,6,
203000,3,2,6,
203000,4,2,3,
203000,5,2,3,
203000,7,2,0,
203000,9,2,0,
203100,1,2,18,
203100,3,2,21,
203100,4,2,3,
203100,5,2,6,
203100,7,2,0,
203100,9,2,3,
203200,1,2,15,
203200,3,2,51,
203200,4,2,6,
203200,5,2,12,
203200,7,2,3,
203200,9,2,9,
203300,1,2,,c
203300,3,2,,c
203300,4,2,,c
203300,5,2,,c
203300,7,2,,c
203300,9,2,,c
203400,1,2,42,
203400,3,2,36,
203400,4,2,6,
203400,5,2,3,
203400,7,2,0,
203400,9,2,0,
203500,1,2,30,
203500,3,2,27,
203500,4,2,9,
203500,5,2,6,
203500,7,2,0,
203500,9,2,3,
203600,1,2,9,
203600,3,2,15,
203600,4,2,0,
203600,5,2,9,
203600,7,2,0,
203600,9,2,0,
203700,1,2,21,
203700,3,2,9,
203700,4,2,0,
203700,5,2,0,
203700,7,2,0,
203700,9,2,3,
203800,1,2,0,
203800,3,2,96,
203800,4,2,3,
203800,5,2,6,
203800,7,2,0,
203800,9,2,3,
203900,1,2,15,
203900,3,2,96,
203900,4,2,9,
203900,5,2,15,
203900,7,2,0,
203900,9,2,6,
204000,1,2,,c
204000,3,2,,c
204000,4,2,,c
204000,5,2,,c
204000,7,2,,c
204000,9,2,,c
204100,1,2,15,
204100,3,2,18,
204100,4,2,6,
204100,5,2,9,
204100,7,2,0,
204100,9,2,0,
204200,1,2,15,
204200,3,2,18,
204200,4,2,6,
204200,5,2,6,
204200,7,2,0,
204200,9,2,0,
204300,1,2,9,
204300,3,2,15,
204300,4,2,3,
204300,5,2,3,
204300,7,2,0,
204300,9,2,0,
204400,1,2,30,
204400,3,2,153,
204400,4,2,21,
204400,5,2,51,
204400,7,2,0,
204400,9,2,3,
204500,1,2,15,
204500,3,2,84,
204500,4,2,9,
204500,5,2,48,
204500,7,2,0,
204500,9,2,0,
204600,1,2,6,
204600,3,2,,c
204600,4,2,,c
204600,5,2,,c
204600,7,2,,c
204600,9,2,,c
204700,1,2,24,
204700,3,2,15,
204700,4,2,3,
204700,5,2,6,
204700,7,2,0,
204700,9,2,0,
204800,1,2,69,
204800,3,2,33,
204800,4,2,15,
204800,5,2,18,
204800,7,2,0,
204800,9,2,0,
204900,1,2,15,
204900,3,2,24,
204900,4,2,6,
204900,5,2,12,
204900,7,2,0,
204900,9,2,0,
205000,1,2,12,
205000,3,2,18,
205000,4,2,3,
205000,5,2,12,
205000,7,2,0,
205000,9,2,0,
205100,1,2,51,
205100,3,2,27,
205100,4,2,18,
205100,5,2,18,
205100,7,2,0,
205100,9,2,0,
205200,1,2,33,
205200,3,2,27,
205200,4,2,15,
205200,5,2,21,
205200,7,2,0,
205200,9,2,3,
205300,1,2,12,
205300,3,2,45,
205300,4,2,18,
205300,5,2,39,
205300,7,2,0,
205300,9,2,0,
205400,1,2,18,
205400,3,2,231,
205400,4,2,48,
205400,5,2,75,
205400,7,2,0,
205400,9,2,6,
205500,1,2,3,
205500,3,2,123,
205500,4,2,3,
205500,5,2,21,
205500,7,2,0,
205500,9,2,3,
205600,1,2,6,
205600,3,2,486,
205600,4,2,72,
205600,5,2,144,
205600,7,2,0,
205600,9,2,18,
205700,1,2,6,
205700,3,2,21,
205700,4,2,3,
205700,5,2,9,
205700,7,2,0,
205700,9,2,0,
205800,1,2,6,
205800,3,2,36,
205800,4,2,3,
205800,5,2,9,
205800,7,2,0,
205800,9,2,0,
205900,1,2,15,
205900,3,2,9,
205900,4,2,6,
205900,5,2,3,
205900,7,2,0,
205900,9,2,0,
206000,1,2,30,
206000,3,2,36,
206000,4,2,0,
206000,5,2,12,
206000,7,2,0,
206000,9,2,0,
206100,1,2,24,
206100,3,2,15,
