AREA,MAINTRAVELEDUC,AGE,Value,Flags
103100,7,1,0,
103100,8,1,0,
103100,9,1,0,
103100,10,1,0,
103200,1,1,6,
103200,2,1,0,
103200,3,1,111,
103200,4,1,0,
103200,5,1,6,
103200,6,1,63,
103200,7,1,3,
103200,8,1,0,
103200,9,1,0,
103200,10,1,0,
103300,1,1,3,
103300,2,1,0,
103300,3,1,108,
103300,4,1,0,
103300,5,1,0,
103300,6,1,60,
103300,7,1,0,
103300,8,1,0,
103300,9,1,0,
103300,10,1,0,
103500,1,1,15,
103500,2,1,0,
103500,3,1,459,
103500,4,1,0,
103500,5,1,300,
103500,6,1,141,
103500,7,1,3,
103500,8,1,0,
103500,9,1,0,
103500,10,1,9,
103600,1,1,0,
103600,2,1,0,
103600,3,1,75,
103600,4,1,0,
103600,5,1,0,
103600,6,1,33,
103600,7,1,0,
103600,8,1,0,
103600,9,1,0,
103600,10,1,0,
103700,1,1,0,
103700,2,1,0,
103700,3,1,78,
103700,4,1,3,
103700,5,1,3,
103700,6,1,72,
103700,7,1,0,
103700,8,1,0,
103700,9,1,0,
103700,10,1,0,
103800,1,1,,c
103800,2,1,,c
103800,3,1,21,
103800,4,1,,c
103800,5,1,24,
103800,6,1,9,
103800,7,1,,c
103800,8,1,,c
103800,9,1,,c
103800,10,1,,c
103900,1,1,3,
103900,2,1,0,
103900,3,1,51,
103900,4,1,0,
103900,5,1,15,
103900,6,1,66,
103900,7,1,6,
103900,8,1,0,
103900,9,1,0,
103900,10,1,0,
104000,1,1,0,
104000,2,1,0,
104000,3,1,36,
104000,4,1,0,
104000,5,1,3,
104000,6,1,48,
104000,7,1,3,
104000,8,1,0,
104000,9,1,0,
104000,10,1,0,
104100,1,1,0,
104100,2,1,0,
104100,3,1,126,
104100,4,1,0,
104100,5,1,3,
104100,6,1,120,
104100,7,1,9,
104100,8,1,0,
104100,9,1,0,
104100,10,1,0,
104200,1,1,,c
104200,2,1,,c
104200,3,1,15,
104200,4,1,,c
104200,5,1,,c
104200,6,1,27,
104200,7,1,,c
104200,8,1,,c
104200,9,1,,c
104200,10,1,,c
104300,1,1,0,
104300,2,1,0,
104300,3,1,72,
104300,4,1,0,
104300,5,1,0,
104300,6,1,21,
104300,7,1,3,
104300,8,1,0,
104300,9,1,0,
104300,10,1,0,
104400,1,1,0,
104400,2,1,0,
104400,3,1,33,
104400,4,1,0,
104400,5,1,6,
104400,6,1,48,
104400,7,1,0,
104400,8,1,0,
104400,9,1,0,
104400,10,1,0,
104600,1,1,3,
104600,2,1,0,
104600,3,1,111,
104600,4,1,3,
104600,5,1,75,
104600,6,1,93,
104600,7,1,3,
104600,8,1,0,
104600,9,1,0,
104600,10,1,3,
104700,1,1,9,
104700,2,1,0,
104700,3,1,54,
104700,4,1,0,
104700,5,1,0,
104700,6,1,84,
104700,7,1,3,
104700,8,1,0,
104700,9,1,0,
104700,10,1,3,
104800,1,1,12,
104800,2,1,0,
104800,3,1,177,
104800,4,1,0,
104800,5,1,18,
104800,6,1,135,
104800,7,1,3,
104800,8,1,0,
104800,9,1,0,
104800,10,1,0,
104900,1,1,21,
104900,2,1,0,
104900,3,1,171,
104900,4,1,0,
104900,5,1,15,
104900,6,1,177,
104900,7,1,0,
104900,8,1,0,
104900,9,1,0,
104900,10,1,0,
105000,1,1,,c
105000,2,1,,c
105000,3,1,,c
105000,4,1,,c
105000,5,1,,c
105000,6,1,,c
105000,7,1,,c
105000,8,1,,c
105000,9,1,,c
105000,10,1,,c
105100,1,1,6,
105100,2,1,0,
105100,3,1,402,
105100,4,1,3,
105100,5,1,9,
105100,6,1,120,
105100,7,1,0,
105100,8,1,0,
105100,9,1,0,
105100,10,1,0,
105300,1,1,0,
105300,2,1,0,
105300,3,1,234,
105300,4,1,0,
105300,5,1,9,
105300,6,1,45,
105300,7,1,3,
105300,8,1,0,
105300,9,1,0,
105300,10,1,3,
105400,1,1,12,
105400,2,1,0,
105400,3,1,345,
105400,4,1,0,
105400,5,1,33,
105400,6,1,207,
105400,7,1,0,
105400,8,1,0,
105400,9,1,0,
105400,10,1,3,
105500,1,1,0,
105500,2,1,0,
105500,3,1,246,
105500,4,1,6,
105500,5,1,90,
105500,6,1,24,
105500,7,1,0,
105500,8,1,0,
105500,9,1,0,
105500,10,1,3,
105600,1,1,6,
105600,2,1,0,
105600,3,1,108,
105600,4,1,0,
105600,5,1,3,
105600,6,1,90,
105600,7,1,9,
105600,8,1,0,
105600,9,1,0,
105600,10,1,3,
105700,1,1,0,
105700,2,1,0,
105700,3,1,153,
105700,4,1,0,
105700,5,1,3,
105700,6,1,30,
105700,7,1,3,
105700,8,1,0,
105700,9,1,0,
105700,10,1,3,
105800,1,1,3,
105800,2,1,0,
105800,3,1,423,
105800,4,1,9,
105800,5,1,69,
105800,6,1,42,
105800,7,1,3,
105800,8,1,0,
105800,9,1,0,
105800,10,1,6,
106000,1,1,3,
106000,2,1,0,
106000,3,1,195,
106000,4,1,12,
106000,5,1,69,
106000,6,1,9,
106000,7,1,3,
106000,8,1,0,
106000,9,1,0,
106000,10,1,3,
106100,1,1,3,
106100,2,1,0,
106100,3,1,264,
106100,4,1,12,
106100,5,1,60,
106100,6,1,27,
106100,7,1,3,
106100,8,1,0,
106100,9,1,0,
106100,10,1,6,
106200,1,1,0,
106200,2,1,0,
106200,3,1,366,
106200,4,1,12,
106200,5,1,111,
106200,6,1,33,
106200,7,1,3,
106200,8,1,0,
106200,9,1,0,
106200,10,1,3,
106300,1,1,3,
106300,2,1,0,
106300,3,1,186,
106300,4,1,0,
106300,5,1,30,
106300,6,1,72,
106300,7,1,3,
106300,8,1,0,
106300,9,1,0,
106300,10,1,0,
106400,1,1,6,
106400,2,1,0,
106400,3,1,243,
106400,4,1,9,
106400,5,1,153,
106400,6,1,12,
106400,7,1,3,
106400,8,1,0,
106400,9,1,0,
106400,10,1,15,
106500,1,1,9,
106500,2,1,0,
106500,3,1,498,
106500,4,1,15,
106500,5,1,75,
106500,6,1,39,
106500,7,1,6,
106500,8,1,0,
106500,9,1,0,
106500,10,1,9,
106600,1,1,6,
106600,2,1,0,
106600,3,1,192,
106600,4,1,18,
106600,5,1,111,
106600,6,1,15,
106600,7,1,3,
106600,8,1,0,
106600,9,1,0,
106600,10,1,3,
106700,1,1,3,
106700,2,1,0,
106700,3,1,168,
106700,4,1,6,
106700,5,1,3,
106700,6,1,33,
106700,7,1,3,
106700,8,1,0,
106700,9,1,0,
106700,10,1,3,
106800,1,1,3,
106800,2,1,0,
106800,3,1,219,
106800,4,1,0,
106800,5,1,42,
106800,6,1,18,
106800,7,1,6,
106800,8,1,0,
106800,9,1,0,
106800,10,1,3,
106900,1,1,9,
106900,2,1,0,
106900,3,1,324,
106900,4,1,12,
106900,5,1,66,
106900,6,1,54,
106900,7,1,0,
106900,8,1,0,
106900,9,1,0,
106900,10,1,6,
107100,1,1,0,
107100,2,1,0,
107100,3,1,42,
107100,4,1,3,
107100,5,1,45,
107100,6,1,9,
107100,7,1,3,
107100,8,1,0,
107100,9,1,0,
107100,10,1,0,
107200,1,1,0,
107200,2,1,0,
107200,3,1,231,
107200,4,1,0,
107200,5,1,18,
107200,6,1,15,
107200,7,1,3,
107200,8,1,0,
107200,9,1,0,
107200,10,1,3,
107300,1,1,6,
107300,2,1,0,
107300,3,1,405,
107300,4,1,6,
107300,5,1,102,
107300,6,1,54,
107300,7,1,27,
107300,8,1,0,
107300,9,1,0,
107300,10,1,21,
107400,1,1,0,
107400,2,1,0,
107400,3,1,252,
107400,4,1,6,
107400,5,1,60,
107400,6,1,45,
107400,7,1,6,
107400,8,1,0,
107400,9,1,0,
107400,10,1,3,
107500,1,1,6,
107500,2,1,0,
107500,3,1,231,
107500,4,1,3,
107500,5,1,75,
107500,6,1,12,
107500,7,1,9,
107500,8,1,0,
107500,9,1,0,
107500,10,1,3,
107600,1,1,3,
107600,2,1,0,
107600,3,1,108,
107600,4,1,27,
107600,5,1,30,
107600,6,1,51,
107600,7,1,3,
107600,8,1,0,
107600,9,1,0,
107600,10,1,0,
107800,1,1,12,
107800,2,1,0,
107800,3,1,147,
107800,4,1,0,
107800,5,1,15,
107800,6,1,159,
107800,7,1,0,
107800,8,1,0,
107800,9,1,0,
107800,10,1,0,
107900,1,1,,c
107900,2,1,,c
107900,3,1,,c
107900,4,1,,c
107900,5,1,,c
107900,6,1,,c
107900,7,1,,c
107900,8,1,,c
107900,9,1,,c
107900,10,1,,c
108000,1,1,3,
108000,2,1,0,
108000,3,1,147,
108000,4,1,0,
108000,5,1,6,
108000,6,1,120,
108000,7,1,3,
108000,8,1,3,
108000,9,1,0,
108000,10,1,0,
108100,1,1,0,
108100,2,1,0,
108100,3,1,123,
108100,4,1,0,
108100,5,1,27,
108100,6,1,51,
108100,7,1,3,
108100,8,1,0,
108100,9,1,0,
108100,10,1,0,
108200,1,1,3,
108200,2,1,0,
108200,3,1,249,
108200,4,1,0,
108200,5,1,33,
108200,6,1,57,
108200,7,1,9,
108200,8,1,0,
108200,9,1,0,
108200,10,1,3,
108300,1,1,9,
108300,2,1,0,
108300,3,1,189,
108300,4,1,6,
108300,5,1,84,
108300,6,1,69,
108300,7,1,12,
108300,8,1,0,
108300,9,1,0,
108300,10,1,0,
108500,1,1,3,
108500,2,1,0,
108500,3,1,213,
108500,4,1,6,
108500,5,1,45,
108500,6,1,114,
108500,7,1,0,
108500,8,1,0,
108500,9,1,0,
108500,10,1,0,
108600,1,1,3,
108600,2,1,0,
108600,3,1,105,
108600,4,1,0,
108600,5,1,0,
108600,6,1,204,
108600,7,1,6,
108600,8,1,0,
108600,9,1,0,
108600,10,1,6,
108700,1,1,6,
108700,2,1,0,
108700,3,1,162,
108700,4,1,18,
108700,5,1,21,
108700,6,1,120,
108700,7,1,0,
108700,8,1,0,
108700,9,1,0,
108700,10,1,3,
108900,1,1,3,
108900,2,1,0,
108900,3,1,120,
108900,4,1,0,
108900,5,1,3,
108900,6,1,54,
108900,7,1,0,
108900,8,1,0,
108900,9,1,0,
108900,10,1,6,
109000,1,1,3,
109000,2,1,0,
109000,3,1,123,
109000,4,1,3,
109000,5,1,15,
109000,6,1,162,
109000,7,1,0,
109000,8,1,0,
109000,9,1,0,
109000,10,1,0,
109100,1,1,24,
109100,2,1,0,
109100,3,1,159,
109100,4,1,9,
109100,5,1,39,
109100,6,1,282,
109100,7,1,3,
109100,8,1,0,
109100,9,1,0,
109100,10,1,3,
109200,1,1,12,
109200,2,1,0,
109200,3,1,126,
109200,4,1,0,
109200,5,1,9,
109200,6,1,117,
109200,7,1,6,
109200,8,1,0,
109200,9,1,0,
109200,10,1,3,
109300,1,1,9,
109300,2,1,0,
109300,3,1,369,
109300,4,1,21,
109300,5,1,201,
109300,6,1,45,
109300,7,1,0,
109300,8,1,0,
109300,9,1,0,
109300,10,1,12,
109400,1,1,9,
109400,2,1,0,
109400,3,1,138,
109400,4,1,3,
109400,5,1,24,
109400,6,1,141,
109400,7,1,3,
109400,8,1,0,
109400,9,1,0,
109400,10,1,0,
109600,1,1,3,
109600,2,1,0,
109600,3,1,96,
109600,4,1,3,
109600,5,1,42,
109600,6,1,39,
109600,7,1,0,
109600,8,1,0,
109600,9,1,0,
109600,10,1,0,
109700,1,1,3,
109700,2,1,0,
109700,3,1,129,
109700,4,1,0,
109700,5,1,15,
109700,6,1,186,
109700,7,1,3,
109700,8,1,0,
109700,9,1,0,
109700,10,1,0,
109800,1,1,12,
109800,2,1,0,
109800,3,1,144,
109800,4,1,3,
109800,5,1,3,
109800,6,1,117,
109800,7,1,3,
109800,8,1,0,
109800,9,1,0,
109800,10,1,3,
109900,1,1,6,
109900,2,1,0,
109900,3,1,114,
109900,4,1,0,
109900,5,1,0,
109900,6,1,96,
109900,7,1,6,
109900,8,1,0,
109900,9,1,0,
109900,10,1,0,
110000,1,1,,c
110000,2,1,,c
110000,3,1,,c
110000,4,1,,c
110000,5,1,,c
110000,6,1,,c
110000,7,1,,c
110000,8,1,,c
110000,9,1,,c
110000,10,1,,c
110100,1,1,3,
110100,2,1,0,
110100,3,1,51,
110100,4,1,12,
110100,5,1,33,
110100,6,1,21,
110100,7,1,0,
110100,8,1,0,
110100,9,1,0,
110100,10,1,0,
258300,1,1,,c
258300,2,1,,c
258300,3,1,,c
258300,4,1,,c
258300,5,1,,c
258300,6,1,,c
258300,7,1,,c
258300,8,1,,c
258300,9,1,,c
258300,10,1,,c
258400,1,1,,c
258400,2,1,,c
258400,3,1,,c
258400,4,1,,c
258400,5,1,,c
258400,6,1,,c
258400,7,1,,c
258400,8,1,,c
258400,9,1,,c
258400,10,1,,c
110200,1,1,9,
110200,2,1,0,
110200,3,1,102,
110200,4,1,0,
110200,5,1,0,
110200,6,1,105,
110200,7,1,0,
110200,8,1,0,
110200,9,1,0,
110200,10,1,0,
110300,1,1,,c
110300,2,1,,c
110300,3,1,,c
110300,4,1,,c
110300,5,1,,c
110300,6,1,,c
110300,7,1,,c
110300,8,1,,c
110300,9,1,,c
110300,10,1,,c
110400,1,1,12,
110400,2,1,0,
110400,3,1,237,
110400,4,1,6,
110400,5,1,24,
110400,6,1,255,
110400,7,1,0,
110400,8,1,0,
110400,9,1,0,
110400,10,1,3,
110500,1,1,3,
110500,2,1,0,
110500,3,1,192,
110500,4,1,3,
110500,5,1,72,
110500,6,1,27,
110500,7,1,0,
110500,8,1,0,
110500,9,1,0,
110500,10,1,3,
110700,1,1,0,
110700,2,1,0,
110700,3,1,240,
110700,4,1,3,
110700,5,1,12,
110700,6,1,153,
110700,7,1,0,
110700,8,1,0,
110700,9,1,0,
110700,10,1,3,
110800,1,1,18,
110800,2,1,0,
110800,3,1,180,
110800,4,1,0,
110800,5,1,3,
110800,6,1,159,
110800,7,1,6,
110800,8,1,0,
110800,9,1,0,
110800,10,1,3,
110900,1,1,3,
110900,2,1,0,
110900,3,1,117,
110900,4,1,0,
110900,5,1,18,
110900,6,1,93,
110900,7,1,6,
110900,8,1,0,
110900,9,1,0,
110900,10,1,3,
111100,1,1,0,
111100,2,1,0,
111100,3,1,141,
111100,4,1,3,
111100,5,1,138,
111100,6,1,27,
111100,7,1,3,
111100,8,1,0,
111100,9,1,0,
111100,10,1,3,
111200,1,1,12,
111200,2,1,0,
111200,3,1,294,
111200,4,1,3,
111200,5,1,12,
111200,6,1,237,
111200,7,1,6,
111200,8,1,0,
111200,9,1,0,
111200,10,1,0,
111300,1,1,0,
111300,2,1,0,
111300,3,1,282,
111300,4,1,3,
111300,5,1,114,
111300,6,1,18,
111300,7,1,0,
111300,8,1,0,
111300,9,1,0,
111300,10,1,3,
111400,1,1,0,
111400,2,1,0,
111400,3,1,54,
111400,4,1,0,
111400,5,1,3,
111400,6,1,45,
111400,7,1,3,
111400,8,1,0,
111400,9,1,0,
111400,10,1,0,
111500,1,1,3,
111500,2,1,0,
111500,3,1,69,
111500,4,1,0,
111500,5,1,3,
111500,6,1,147,
111500,7,1,0,
111500,8,1,0,
111500,9,1,0,
111500,10,1,0,
111600,1,1,9,
111600,2,1,0,
111600,3,1,312,
111600,4,1,0,
111600,5,1,18,
111600,6,1,114,
111600,7,1,12,
111600,8,1,0,
111600,9,1,0,
111600,10,1,3,
111800,1,1,0,
111800,2,1,0,
111800,3,1,51,
111800,4,1,0,
111800,5,1,24,
111800,6,1,27,
111800,7,1,0,
111800,8,1,0,
111800,9,1,0,
111800,10,1,0,
111900,1,1,0,
111900,2,1,0,
111900,3,1,48,
111900,4,1,3,
111900,5,1,3,
111900,6,1,33,
111900,7,1,6,
111900,8,1,0,
111900,9,1,0,
111900,10,1,0,
112000,1,1,,c
112000,2,1,,c
112000,3,1,,c
112000,4,1,,c
112000,5,1,,c
112000,6,1,,c
112000,7,1,,c
112000,8,1,,c
112000,9,1,,c
112000,10,1,,c
112100,1,1,3,
112100,2,1,0,
112100,3,1,147,
112100,4,1,0,
112100,5,1,0,
112100,6,1,75,
112100,7,1,3,
112100,8,1,0,
112100,9,1,0,
112100,10,1,0,
112200,1,1,3,
112200,2,1,0,
112200,3,1,108,
112200,4,1,0,
112200,5,1,57,
112200,6,1,6,
112200,7,1,21,
112200,8,1,3,
112200,9,1,0,
112200,10,1,0,
112300,1,1,3,
112300,2,1,0,
112300,3,1,189,
112300,4,1,0,
112300,5,1,6,
112300,6,1,39,
112300,7,1,0,
112300,8,1,0,
112300,9,1,0,
112500,1,1,9,
112500,2,1,0,
112500,3,1,153,
112500,4,1,3,
112500,5,1,6,
112500,6,1,75,
112500,7,1,6,
112500,8,1,0,
112500,9,1,0,
112600,1,1,6,
112600,2,1,0,
112600,3,1,198,
112600,4,1,0,
112600,5,1,0,
112600,6,1,108,
112600,7,1,0,
112600,8,1,6,
112600,9,1,0,
112600,10,1,3,
112700,1,1,0,
112700,2,1,0,
112700,3,1,279,
112700,4,1,24,
112700,5,1,135,
112700,6,1,12,
112700,7,1,6,
112700,8,1,0,
112700,9,1,0,
112700,10,1,3,
112800,1,1,6,
112800,2,1,0,
112800,3,1,195,
112800,4,1,6,
112800,5,1,12,
112800,6,1,9,
112800,7,1,9,
112800,8,1,0,
112800,9,1,0,
112800,10,1,3,
112900,1,1,3,
112900,2,1,0,
112900,3,1,147,
112900,4,1,21,
112900,5,1,96,
112900,6,1,9,
112900,7,1,0,
112900,8,1,0,
112900,9,1,0,
112900,10,1,0,
113000,1,1,3,
113000,2,1,0,
113000,3,1,147,
113000,4,1,12,
113000,5,1,63,
113000,6,1,9,
113000,7,1,3,
113000,8,1,0,
113000,9,1,0,
113000,10,1,0,
113100,1,1,3,
113100,2,1,0,
113100,3,1,525,
113100,4,1,30,
113100,5,1,87,
113100,6,1,72,
113100,7,1,12,
113100,8,1,0,
113100,9,1,0,
113100,10,1,3,
113200,1,1,9,
113200,2,1,0,
113200,3,1,156,
113200,4,1,0,
113200,5,1,0,
113200,6,1,66,
113200,7,1,0,
113200,8,1,0,
113200,9,1,0,
113200,10,1,0,
113300,1,1,3,
113300,2,1,0,
113300,3,1,360,
113300,4,1,9,
113300,5,1,69,
113300,6,1,39,
113300,7,1,9,
113300,8,1,0,
113300,9,1,0,
113300,10,1,0,
113400,1,1,9,
113400,2,1,0,
113400,3,1,165,
113400,4,1,3,
113400,5,1,6,
113400,6,1,63,
113400,7,1,6,
113400,8,1,0,
113400,9,1,0,
113400,10,1,3,
113600,1,1,0,
113600,2,1,0,
113600,3,1,201,
113600,4,1,36,
113600,5,1,102,
113600,6,1,30,
113600,7,1,12,
113600,8,1,0,
113600,9,1,0,
113600,10,1,9,
113700,1,1,,c
113700,2,1,,c
113700,3,1,,c
113700,4,1,,c
113700,5,1,,c
113700,6,1,,c
113700,7,1,,c
113700,8,1,,c
113700,9,1,,c
113700,10,1,,c
113800,1,1,,c
113800,2,1,,c
113800,3,1,21,
113800,4,1,,c
113800,5,1,,c
113800,6,1,,c
113800,7,1,,c
113800,8,1,,c
113800,9,1,,c
113800,10,1,,c
113900,1,1,3,
113900,2,1,0,
113900,3,1,180,
113900,4,1,21,
113900,5,1,39,
113900,6,1,24,
113900,7,1,6,
113900,8,1,0,
113900,9,1,0,
113900,10,1,3,
114000,1,1,3,
114000,2,1,0,
114000,3,1,282,
114000,4,1,42,
114000,5,1,144,
114000,6,1,87,
114000,7,1,15,
114000,8,1,0,
114000,9,1,0,
114100,1,1,3,
114100,2,1,0,
114100,3,1,141,
114100,4,1,0,
114100,5,1,0,
114100,6,1,150,
114100,7,1,12,
114100,8,1,0,
114100,9,1,0,
114100,10,1,0,
114300,1,1,,c
114300,2,1,,c
114300,3,1,,c
114300,4,1,,c
114300,5,1,,c
114300,6,1,,c
114300,7,1,,c
114300,8,1,,c
114300,9,1,,c
114300,10,1,,c
114400,1,1,6,
114400,2,1,0,
114400,3,1,312,
114400,4,1,12,
114400,5,1,12,
114400,6,1,57,
114400,7,1,9,
114400,8,1,0,
114400,9,1,0,
114400,10,1,0,
114500,1,1,0,
114500,2,1,0,
114500,3,1,123,
114500,4,1,0,
114500,5,1,0,
114500,6,1,93,
114500,7,1,6,
114500,8,1,0,
114500,9,1,0,
114500,10,1,3,
114600,1,1,9,
114600,2,1,0,
114600,3,1,264,
114600,4,1,12,
114600,5,1,153,
114600,6,1,45,
114600,7,1,6,
114600,8,1,0,
114600,9,1,0,
114600,10,1,3,
114700,1,1,0,
114700,2,1,0,
114700,3,1,147,
114700,4,1,0,
114700,5,1,6,
114700,6,1,54,
114700,7,1,0,
114700,8,1,0,
114700,9,1,0,
114700,10,1,3,
114800,1,1,0,
114800,2,1,0,
114800,3,1,126,
114800,4,1,0,
114800,5,1,0,
114800,6,1,45,
114800,7,1,9,
114800,8,1,0,
114800,9,1,0,
115000,1,1,0,
115000,2,1,0,
115000,3,1,390,
115000,4,1,30,
115000,5,1,48,
115000,6,1,75,
115000,7,1,6,
115000,8,1,6,
115000,9,1,0,
115100,1,1,0,
115100,2,1,0,
115100,3,1,246,
115100,4,1,6,
115100,5,1,105,
115100,6,1,21,
115100,7,1,3,
115100,8,1,0,
115100,9,1,0,
115200,1,1,6,
115200,2,1,0,
115200,3,1,150,
115200,4,1,24,
115200,5,1,102,
115200,6,1,39,
115200,7,1,3,
115200,8,1,0,
115200,9,1,0,
115200,10,1,0,
115300,1,1,0,
115300,2,1,0,
115300,3,1,81,
115300,4,1,0,
115300,5,1,3,
115300,6,1,102,
115300,7,1,3,
115300,8,1,3,
115300,9,1,0,
115300,10,1,3,
115400,1,1,6,
115400,2,1,0,
115400,3,1,180,
115400,4,1,3,
115400,5,1,0,
115400,6,1,51,
115400,7,1,3,
115400,8,1,0,
115400,9,1,0,
115400,10,1,0,
115500,1,1,6,
115500,2,1,0,
115500,3,1,258,
115500,4,1,0,
115500,5,1,6,
115500,6,1,90,
115500,7,1,6,
115500,8,1,0,
115500,9,1,0,
115500,10,1,0,
115600,1,1,3,
115600,2,1,0,
115600,3,1,159,
115600,4,1,0,
115600,5,1,3,
115600,6,1,33,
115600,7,1,6,
115600,8,1,0,
115600,9,1,0,
115600,10,1,3,
115700,1,1,9,
115700,2,1,0,
115700,3,1,279,
115700,4,1,9,
115700,5,1,81,
115700,6,1,123,
115700,7,1,12,
115700,8,1,0,
115700,9,1,0,
